,Temperature_Comedor_Sensor,22:Temperature_Exterior_Sensor,5:Weather_Temperature,9:Humedad_Habitacion_Sensor,23:Humedad_Exterior_Sensor,8:Humedad_Comedor_Sensor,7:CO2_Habitacion_Sensor,18:Meteo_Exterior_Piranometro,24:Day_Of_Week,Temperature_Habitacion_Sensor
28,21.4493,18.768,17.0,40.1587,54.928,44.3893,215.477,-3.708,2.0,23.588
29,21.3747,18.4967,17.0,40.752,55.752,44.68,214.987,-3.64267,2.0,23.2867
30,21.276,18.23,16.2667,41.2507,56.0213,44.64,215.115,-3.708,2.0,23.032
31,21.1987,18.0053,15.6667,41.616,56.584,44.8213,216.0,-3.904,2.0,22.7747
32,21.0933,17.7807,15.6,42.0027,57.5387,44.7493,214.901,-3.57733,2.0,22.5533
33,21.0,17.576,15.0,42.4373,57.9147,44.5867,214.549,-3.64267,2.0,22.352
34,20.9053,17.3707,15.0,42.6267,57.5893,44.3227,213.888,-3.64267,2.0,22.1227
35,20.816,17.1607,15.0,42.7493,57.1467,44.4693,213.675,-3.64267,2.0,21.9347
36,20.72,16.9407,15.0,42.808,57.1653,44.0507,214.123,-3.512,2.0,21.7133
37,20.628,16.6853,15.0,42.8533,57.1813,43.6827,214.304,-3.38133,2.0,21.5373
38,20.5253,16.416,14.6,42.856,57.2453,43.8027,215.275,-3.57733,2.0,21.348
39,20.43,16.22,14.0667,42.9227,57.3653,43.624,216.832,-3.38133,2.0,21.148
40,20.3147,16.0547,12.9333,42.9413,57.5253,43.136,217.867,-3.44667,2.0,20.9813
41,20.2133,15.876,12.0,43.016,57.712,43.2,218.891,-3.512,2.0,20.8107
42,20.114,15.7213,12.0,43.0853,57.896,42.8533,219.68,-3.44667,2.0,20.66
43,20.0053,15.5673,11.6,43.1307,58.0133,42.7333,219.744,-3.44667,2.0,20.4753
44,19.9007,15.4147,10.1333,43.1813,57.928,42.6853,219.627,-3.38133,2.0,20.3147
45,19.7953,15.26,10.3333,43.24,58.048,42.1973,219.797,-3.512,2.0,20.164
46,19.6773,15.066,11.0,43.2427,58.0107,41.9947,221.461,-3.44667,2.0,19.9967
47,19.5727,14.864,11.0,43.248,57.864,41.7573,221.931,-3.316,2.0,19.846
48,19.442,14.6387,10.2667,43.2293,57.7173,41.3467,223.499,-3.18533,2.0,19.6773
49,19.3327,14.4433,10.0,43.1573,57.5627,41.432,223.381,-3.25067,2.06667,19.526
50,19.238,14.2667,9.46667,43.16,57.472,41.0427,223.637,-3.316,3.0,19.3733
51,19.0933,13.9887,9.0,43.152,57.7253,41.0133,225.131,-3.44667,3.0,19.2087
52,18.962,13.7673,9.0,43.1573,58.3413,41.152,227.509,-3.44667,3.0,19.0527
53,18.8533,13.6213,9.0,43.24,58.496,41.152,226.208,-3.18533,3.0,18.8973
54,18.7267,13.522,9.0,43.2613,58.1013,41.0427,226.091,-3.18533,3.0,18.734
55,18.6073,13.3787,9.0,43.2187,57.44,40.9627,225.301,-3.18533,3.0,18.5833
56,18.5007,13.1973,9.0,43.1653,57.5707,40.708,225.237,-3.38133,3.0,18.4167
57,18.36,12.9067,8.86667,43.16,57.4293,40.6213,226.56,-3.316,3.0,18.2727
58,18.2387,12.6573,8.0,43.16,57.3867,40.712,227.211,-3.12,3.0,18.0973
59,18.09,12.5453,8.0,43.16,57.3787,40.6547,225.6,-3.316,3.0,17.9533
60,17.9553,12.398,8.4,43.176,57.3493,40.672,225.355,-3.12,3.0,17.8173
61,17.8333,12.29,7.8,43.1653,56.8533,40.676,222.795,-3.18533,3.0,17.654
62,17.7047,12.176,7.0,43.104,56.6053,40.488,220.747,-3.18533,3.0,17.5153
63,17.5733,12.1367,7.0,42.872,56.2693,40.3333,216.928,-3.10733,3.0,17.3267
64,17.4713,12.072,7.0,42.8507,56.0453,40.4413,217.216,-3.25067,3.0,17.1553
65,17.3667,11.9873,7.0,42.8933,55.984,40.4253,215.957,-3.12,3.0,17.0253
66,17.268,11.9167,7.0,42.856,56.0373,40.372,215.392,-3.18533,3.0,16.894
67,17.126,11.8633,7.0,42.752,56.0667,40.3133,213.781,-3.17267,3.0,16.7433
68,16.9933,11.836,7.0,42.648,56.1867,40.312,213.419,-3.25067,3.0,16.608
69,16.904,11.7567,6.66667,42.672,56.104,40.3413,212.672,-3.25067,3.0,16.4307
70,16.83,11.6907,6.0,42.776,56.0907,40.376,212.992,-3.12,3.0,16.2933
71,16.7333,11.5713,6.13333,42.8667,56.4747,40.372,213.856,-3.12,3.0,16.174
72,16.61,11.3687,6.8,42.9387,57.0773,40.4253,214.005,-3.18533,3.0,16.036
73,16.504,11.2627,7.0,42.9787,56.8853,40.48,214.229,-3.18533,3.0,15.9227
74,16.3927,11.1727,6.06667,43.016,56.9093,40.4373,214.197,-2.19667,3.0,15.8607
75,16.282,11.1,6.0,43.0747,56.9573,40.448,214.496,6.454,3.0,15.74
76,16.178,11.03,6.0,43.0853,57.088,40.44,217.077,32.7267,3.0,15.6427
77,16.1087,11.0,6.0,43.0507,56.8347,40.4507,219.68,72.7547,3.0,15.5307
78,16.0233,11.09,6.0,42.904,56.12,40.348,218.187,116.608,3.0,15.4753
79,15.99,11.2253,6.33333,42.84,55.3573,40.508,217.739,164.304,3.0,15.3773
80,15.96,11.4613,7.0,42.064,54.4987,40.556,216.928,214.869,3.0,15.6793
81,15.97,11.778,7.66667,41.116,53.9627,40.6867,218.464,264.331,3.0,16.2273
82,15.9967,12.1447,9.0,40.5907,54.224,40.7867,218.475,313.227,3.0,16.6473
83,16.038,12.57,9.2,40.2613,55.1733,40.868,219.392,361.685,3.0,17.0253
84,16.1227,13.0093,9.73333,39.98,56.2373,40.9867,219.531,406.677,3.0,17.3987
85,16.246,13.4953,10.0,39.62,56.9333,40.9,220.523,449.92,3.0,17.7927
86,16.4007,14.0053,11.6,39.2147,56.792,40.6547,220.779,495.829,3.0,18.2633
87,16.6693,14.52,13.6667,38.5987,55.752,40.2733,233.909,533.163,3.0,18.712
88,16.9007,15.106,15.0,37.8773,55.08,40.172,230.624,574.272,3.0,19.2667
89,17.1213,15.6,15.6667,37.096,54.1627,40.1813,228.32,612.971,3.0,19.8067
90,17.3767,16.0653,17.0,36.3373,53.416,40.22,228.448,641.6,3.0,20.3413
91,17.7033,16.586,17.6667,36.7587,52.92,40.3733,262.859,667.733,3.0,20.8453
92,18.096,17.142,19.0,39.972,52.8747,40.4653,396.096,692.011,3.0,21.452
93,18.4513,17.636,19.0,40.688,52.696,40.832,436.309,718.251,3.0,21.788
94,18.76,18.03,19.0,41.2693,52.0427,41.0307,448.469,741.12,3.0,21.836
95,19.122,18.3747,19.0,39.4267,52.0773,41.836,301.28,754.987,3.0,21.6173
96,19.546,18.6873,19.0,40.624,52.4213,42.432,265.952,763.52,3.0,21.424
97,20.0367,18.9767,19.0,41.4853,52.688,43.0747,310.432,771.627,3.0,21.6
98,20.4673,19.248,19.7333,41.824,53.16,42.1147,384.448,776.619,3.0,21.8587
99,20.832,19.5893,19.4667,42.1573,53.3893,42.1467,472.277,775.253,3.0,22.0573
100,21.216,19.9793,19.0,42.6587,53.2213,42.4773,475.051,771.456,3.0,22.1907
101,21.6253,20.274,19.0,43.472,53.2027,44.2933,472.363,762.795,3.0,22.34
102,21.8947,20.5307,19.0,43.312,53.112,43.0907,438.592,749.952,3.0,22.4707
103,22.1773,20.88,19.1333,43.472,53.008,43.2027,445.824,731.392,3.0,22.62
104,22.3373,21.2107,19.7333,43.6587,52.6907,43.0427,421.611,712.491,3.0,22.624
105,22.4733,21.5027,20.0,43.6027,52.288,42.8373,356.352,686.507,3.0,22.692
106,22.612,21.844,20.0,43.3333,51.784,43.0427,306.848,657.472,3.0,22.7347
107,22.7813,22.196,20.0,43.2533,50.8,43.7227,297.813,627.84,3.0,22.78
108,22.912,22.3693,20.0,43.1067,49.4987,43.672,276.523,594.283,3.0,22.816
109,22.992,22.32,20.0,43.0213,48.1893,43.4987,260.256,558.443,3.0,22.8213
110,23.088,22.136,20.0,42.8987,46.432,43.064,248.853,518.827,3.0,22.808
111,23.148,21.8853,20.0,42.624,45.1947,42.0827,243.765,476.373,3.0,22.776
112,23.164,21.5827,20.0,42.224,44.3787,41.124,237.589,431.253,3.0,22.7347
113,23.132,21.2467,19.8667,41.952,44.2373,40.4133,233.12,383.637,3.0,22.6907
114,23.128,20.9627,19.0,41.664,44.0347,39.9333,229.899,334.421,3.0,22.608
115,23.0627,20.6947,19.0,41.5227,43.544,39.2667,226.869,285.024,3.0,22.5613
116,22.996,20.4427,19.0,41.48,43.4693,38.8173,221.515,234.805,3.0,22.484
117,22.9333,20.1167,19.0,41.0613,43.048,38.384,219.349,184.949,3.0,22.3867
118,22.8213,19.8167,19.0,40.8947,43.36,37.8173,217.483,116.075,3.0,22.2987
119,22.716,19.5533,18.8,40.776,44.864,37.912,215.936,24.2627,3.0,22.1787
120,22.5893,19.3293,18.2667,40.9387,48.3867,39.0733,214.325,15.6347,3.0,22.064
121,22.484,19.1287,18.0,41.44,51.8347,40.848,212.544,5.62067,3.0,21.952
122,22.3813,18.9267,18.0,42.048,54.5067,42.32,213.035,-2.58867,3.0,21.8613
123,22.2627,18.7113,17.3333,42.7947,56.8587,43.6133,211.371,-3.64267,3.0,21.74
124,22.156,18.4533,16.0,43.52,58.408,44.5493,210.581,-3.708,3.0,21.624
125,22.044,18.2053,16.0,44.056,59.5707,45.2853,210.507,-3.77333,3.0,21.496
126,21.92,17.9927,16.0,44.496,60.184,45.816,210.187,-3.77333,3.0,21.3867
127,21.82,17.7647,16.0,44.944,61.1787,46.2747,210.805,-3.512,3.0,21.2507
128,21.6973,17.5673,14.5333,45.056,62.488,46.184,211.136,-3.512,3.0,21.1293
129,21.5627,17.3913,14.0,45.6667,62.7653,46.9147,210.496,-3.708,3.0,21.028
130,21.4453,17.2,14.0,45.8693,63.056,47.2987,211.723,-3.64267,3.0,20.896
131,21.304,16.996,14.0,46.0667,62.96,47.3067,211.019,-3.77333,3.0,20.816
132,21.18,16.8393,14.0,45.4533,64.6267,45.8533,211.616,-3.57733,3.0,20.6813
133,21.04,16.684,12.5333,45.488,65.1147,45.2,212.48,-3.77333,3.0,20.572
134,20.8987,16.514,12.0,45.5253,65.7627,44.824,214.091,-3.708,3.0,20.4173
135,20.7747,16.3467,12.0,45.6133,65.6587,44.8347,213.749,-3.708,3.0,20.308
136,20.652,16.166,12.0,46.232,65.2187,45.8827,214.261,-3.25067,3.0,20.1407
137,20.532,16.0053,12.0,46.4693,65.2773,46.352,214.229,-3.316,3.0,19.9987
138,20.4067,15.8253,12.0,46.752,65.1707,46.5333,213.739,-3.57733,3.0,19.9033
139,20.264,15.6493,12.0,46.5893,65.072,45.9653,214.496,-3.57733,3.0,19.7833
140,20.136,15.4293,11.4667,46.8933,64.3813,45.736,214.357,-3.57733,3.0,19.658
141,20.0227,15.0953,11.0,46.7413,63.3573,44.936,214.432,-3.512,3.0,19.52
142,19.866,14.9067,10.0667,46.4053,64.584,44.2427,215.979,-3.18533,3.0,19.4027
143,19.7607,14.7893,9.66667,45.7573,64.9653,43.3253,215.787,-3.38133,3.0,19.3573
144,19.8147,14.66,9.0,45.0,64.7307,41.4853,215.125,-3.25067,3.0,19.5787
145,19.8147,14.4187,9.0,44.64,64.304,41.104,216.309,-3.38133,3.06667,19.672
146,19.7553,14.208,9.0,44.256,63.7627,40.976,217.44,-3.38133,4.0,19.7
147,19.6867,13.9453,9.0,43.9893,63.152,40.896,217.568,-3.316,4.0,19.7033
148,19.5833,13.6507,9.0,43.752,62.3547,40.816,218.891,-3.38133,4.0,19.684
149,19.482,13.3473,8.66667,43.5173,61.8907,40.7413,220.672,-3.25067,4.0,19.648
150,19.3353,13.1267,8.0,43.2747,61.864,40.7107,219.328,-3.25067,4.0,19.55
151,19.2267,12.918,8.0,43.2133,65.3653,40.66,217.259,-3.25067,4.0,19.4333
152,19.1367,12.76,8.53333,43.272,68.5467,40.596,215.157,-3.042,4.0,19.382
153,19.05,12.668,9.0,43.424,69.3893,40.5893,214.048,-3.12,4.0,19.3153
154,18.9727,12.6267,8.06667,43.5573,69.824,40.5733,213.045,-3.12,4.0,19.3
155,18.8867,12.6133,8.0,43.5893,69.8427,40.592,212.021,-3.25067,4.0,19.2733
156,18.8027,12.6033,7.86667,43.5947,70.5147,40.64,213.429,-3.18533,4.0,19.2267
157,18.7287,12.5907,7.33333,43.712,70.3573,40.656,213.589,-3.18533,4.0,19.1367
158,18.6713,12.5907,8.0,44.0027,70.4267,40.68,213.685,-3.18533,4.0,19.13
159,18.6047,12.5933,7.6,44.0053,70.8453,40.712,213.493,-3.25067,4.0,19.1133
160,18.5513,12.59,6.0,44.1227,70.4533,40.748,214.496,-3.38133,4.0,19.0867
161,18.5067,12.5873,6.06667,44.2213,70.7333,40.848,213.867,-3.38133,4.0,19.06
162,18.4533,12.5967,6.8,44.3787,70.4453,40.92,214.741,-3.18533,4.0,19.048
163,18.4007,12.6067,6.53333,44.592,70.712,41.0053,214.4,-3.18533,4.0,19.004
164,18.3567,12.6367,6.0,44.7627,70.5333,41.048,214.208,-3.25067,4.0,19.0
165,18.33,12.668,5.46667,45.0133,70.8507,41.1387,213.856,-3.18533,4.0,19.0
166,18.2827,12.638,5.0,45.0293,71.7493,41.2027,212.789,-3.38133,4.0,18.99
167,18.2267,12.522,5.53333,45.1093,71.92,41.232,212.512,-3.12,4.0,18.9447
168,18.1393,12.3907,6.0,44.8453,71.6027,41.288,212.075,-3.316,4.0,18.9207
169,18.068,12.2227,5.66667,44.9573,71.28,41.392,214.101,-3.12,4.0,18.8607
170,18.0233,12.0147,5.0,45.048,70.9653,41.408,215.264,-2.6,4.0,18.7953
171,17.956,11.7967,5.0,45.0213,70.4773,41.4213,216.555,6.12933,4.0,18.7267
172,17.8847,11.5727,4.86667,44.9733,70.1413,41.4347,217.984,41.1607,4.0,18.672
173,17.83,11.4327,4.0,44.8293,69.5067,41.4213,221.28,83.4,4.0,18.6067
174,17.7513,11.3953,4.0,44.584,69.0933,41.4053,223.584,129.36,4.0,18.54
175,17.7287,11.4167,4.0,44.4933,68.5787,41.4933,225.344,176.256,4.0,18.5
176,17.7133,11.508,5.46667,44.352,68.2907,41.5413,225.152,224.896,4.0,18.496
177,17.7133,11.6473,6.0,44.144,68.1093,41.528,223.115,270.869,4.0,18.52
178,17.708,11.7813,6.53333,43.9013,67.4933,41.6453,219.723,324.117,4.0,18.4907
179,17.596,11.93,7.0,44.4027,66.8533,42.0,221.269,374.293,4.0,18.1873
180,17.5847,12.142,8.33333,44.856,65.648,42.088,221.365,421.973,4.0,18.0307
181,17.622,12.3787,9.4,45.0053,65.1947,42.2347,221.291,465.877,4.0,18.04
182,17.704,12.644,12.0,45.0053,64.7307,42.3227,220.48,509.952,4.0,18.036
183,17.82,12.988,12.0,45.0507,63.672,42.3813,219.925,545.472,4.0,18.0753
184,17.918,13.3487,12.0,45.104,63.792,42.3973,217.376,560.405,4.0,18.166
185,18.0507,13.6793,12.5333,45.4587,64.4,42.5067,216.427,553.493,4.0,18.204
186,18.222,14.006,13.0,45.6427,64.264,42.5867,215.243,642.645,4.0,18.316
187,18.3893,14.3727,13.5333,45.512,64.024,42.4907,214.443,670.485,4.0,18.4647
188,18.58,14.7233,14.0,45.3813,63.7493,42.464,214.219,700.224,4.0,18.6193
189,18.7587,15.002,14.0,45.3013,63.4907,42.416,213.312,734.891,4.0,18.7947
190,18.962,15.326,14.9333,45.1173,63.16,42.456,213.6,755.2,4.0,18.9613
191,19.164,15.6967,15.0,44.9867,62.84,42.48,214.539,765.781,4.0,19.1713
192,19.378,16.0347,15.0,44.8667,62.488,42.472,213.589,758.997,4.0,19.3553
193,19.59,16.4073,15.5333,44.84,62.128,42.4933,214.72,776.789,4.0,19.532
194,19.7993,16.7633,16.0,44.8213,61.8933,42.4773,214.421,790.059,4.0,19.724
195,19.9867,17.0687,16.0,44.824,61.6107,42.5067,214.955,727.467,4.0,19.9
196,20.1427,17.32,16.0,44.8853,61.2667,42.6213,213.099,758.784,4.0,20.0133
197,20.324,17.632,16.3333,44.9307,60.752,42.7093,213.739,780.288,4.0,20.1993
198,20.5067,17.9767,17.0,45.0027,60.0293,42.8053,213.109,771.371,4.0,20.352
199,20.6693,18.2567,17.0,45.096,59.336,42.9707,212.736,741.504,4.0,20.476
200,20.836,18.5607,17.0,45.2,58.936,43.1547,212.661,695.36,4.0,20.5773
201,20.972,18.848,17.0,45.344,58.5147,43.4373,211.328,680.917,4.0,20.644
202,21.0907,19.0727,17.0,45.4773,58.0613,43.832,210.048,649.451,4.0,20.7027
203,21.232,19.2747,17.0,45.6347,58.0507,44.224,209.856,585.749,4.0,20.744
204,21.3573,19.34,17.0,45.768,58.32,44.7093,209.632,558.997,4.0,20.8133
205,21.44,19.2907,16.4667,45.976,58.6,45.1173,209.504,481.195,4.0,20.844
206,21.508,19.1147,16.0,46.184,58.9253,45.64,208.992,472.363,4.0,20.8107
207,21.5493,18.9587,16.0,46.352,59.2533,45.9973,208.587,450.752,4.0,20.8187
208,21.5587,18.764,16.0,46.5627,59.5787,46.184,207.723,457.259,4.0,20.8373
209,21.584,18.6033,16.0,46.8133,59.9013,46.3813,207.733,406.293,4.0,20.8347
210,21.5627,18.4393,15.2667,47.008,60.2,46.4987,208.096,355.52,4.0,20.8013
211,21.544,18.2627,15.0,47.2453,60.304,46.5173,207.723,298.368,4.0,20.792
212,21.508,18.098,15.0,47.5253,60.4747,46.568,207.552,245.109,4.0,20.732
213,21.436,17.9173,15.0,47.6827,60.8907,46.6747,207.883,189.035,4.0,20.676
214,21.3613,17.6773,15.0,47.76,61.608,46.8347,208.0,125.161,4.0,20.628
215,21.2613,17.472,15.0,47.7947,62.4133,47.0907,207.979,27.412,4.0,20.5493
216,21.164,17.2827,15.0,47.9973,62.8773,47.3227,207.36,16.5447,4.0,20.454
217,21.0627,17.1053,15.0,48.2587,63.6533,47.6053,207.861,4.24067,4.0,20.36
218,20.9653,16.9207,14.2667,48.392,64.456,47.9627,208.277,-2.74267,4.0,20.2733
219,20.844,16.7213,14.0,48.64,65.064,48.2773,208.043,-3.57733,4.0,20.1627
220,20.7307,16.4993,14.0,48.8453,65.5947,48.56,208.203,-3.512,4.0,20.0473
221,20.62,16.318,13.4667,48.9307,66.0533,48.728,208.523,-3.38133,4.0,19.9367
222,20.512,16.138,13.0,49.0907,66.6827,48.912,208.181,-3.57733,4.0,19.856
223,20.3933,15.9873,13.0,49.2693,66.9307,49.1013,208.629,-3.57733,4.0,19.7567
224,20.278,15.8333,13.0,49.288,67.1573,49.1893,209.44,-3.44667,4.0,19.6433
225,20.172,15.6733,13.0,49.4,67.52,49.1973,208.992,-3.38133,4.0,19.52
226,20.0567,15.54,13.0,49.4747,68.0933,49.232,208.885,-3.57733,4.0,19.4367
227,19.9253,15.404,13.0,49.488,68.9067,48.9893,209.152,-3.38133,4.0,19.338
228,19.812,15.272,13.0,49.52,69.2613,48.9707,209.024,-3.38133,4.0,19.22
229,19.692,15.1407,12.8667,49.616,69.4133,48.984,209.013,-3.57733,4.0,19.1167
230,19.5873,15.0093,12.4,49.7653,69.4987,48.9733,209.44,-3.512,4.0,18.9793
231,19.46,14.8713,12.0,49.744,69.504,48.6373,209.696,-3.57733,4.0,18.8913
232,19.342,14.75,12.0,49.7467,69.24,48.3307,211.488,-3.38133,4.0,18.7913
233,19.2353,14.5993,11.3333,49.688,69.008,48.1013,213.216,-3.316,4.0,18.6867
234,19.1,14.4087,10.0,49.6933,68.7973,47.92,213.568,-3.316,4.0,18.58
235,18.9687,14.234,9.73333,49.576,68.8453,47.344,214.837,-3.18533,4.0,18.44
236,18.8733,14.0847,9.0,49.7333,68.7707,47.6373,213.824,-3.25067,4.0,18.3333
237,18.7487,13.9373,8.93333,49.792,68.7387,47.6213,213.163,-3.316,4.0,18.2247
238,18.6267,13.77,8.06667,49.6747,68.896,46.968,214.251,-3.25067,4.0,18.0773
239,18.5293,13.63,8.0,49.7893,68.4053,47.0987,213.856,-3.25067,4.0,17.98
240,18.4027,13.4147,8.0,49.752,68.0667,46.7173,213.579,-3.38133,4.0,17.862
241,18.2813,13.212,8.0,49.68,67.68,46.272,214.72,-3.18533,4.06667,17.766
242,18.1533,13.0447,8.0,49.6,67.6347,46.168,214.176,-3.12,5.0,17.6153
243,18.0213,12.864,8.0,49.5813,68.024,46.3547,215.435,-3.36867,5.0,17.516
244,17.8933,12.74,8.0,49.5573,67.768,46.104,215.115,-3.44667,5.0,17.42
245,17.7953,12.6067,8.0,49.5333,67.4987,46.0133,215.328,-3.18533,5.0,17.312
246,17.67,12.4273,8.0,49.504,67.216,45.912,216.725,-3.12,5.0,17.1813
247,17.5487,12.294,8.0,49.4187,66.544,45.768,216.0,-3.25067,5.0,17.0573
248,17.4327,12.1653,7.06667,49.36,65.6107,45.464,214.496,-3.25067,5.0,16.9153
249,17.3387,12.0033,7.0,49.2747,65.032,45.2187,213.451,-3.18533,5.0,16.78
250,17.1967,11.836,7.0,49.2507,64.5467,45.2693,212.096,-3.18533,5.0,16.6573
251,17.072,11.6933,6.26667,49.1707,64.2693,45.128,211.477,-3.25067,5.0,16.53
252,16.9487,11.5667,6.0,49.0347,63.6053,44.968,211.584,-3.18533,5.0,16.384
253,16.8467,11.4373,6.0,48.8267,62.8187,44.9173,210.336,-3.18533,5.0,16.29
254,16.726,11.2773,6.0,48.7893,62.4693,44.7147,210.048,-3.18533,5.0,16.1487
255,16.5987,11.0967,6.0,48.752,62.2507,44.6827,209.856,-3.18533,5.0,16.032
256,16.4673,10.97,6.0,48.7013,61.8213,44.5253,209.28,-3.18533,5.0,15.9367
257,16.3527,10.876,6.0,48.488,61.5733,44.4773,209.76,-3.12,5.0,15.8313
258,16.214,10.696,6.0,48.4453,61.4933,44.4373,209.6,-3.12,5.0,15.7127
259,16.1107,10.58,5.46667,48.3787,61.3627,44.3653,209.248,-3.12,5.0,15.5847
260,16.0,10.4827,5.0,48.32,61.1493,44.3253,209.024,-3.12,5.0,15.4687
261,15.862,10.4233,5.73333,48.2267,60.824,44.3147,208.768,-3.18533,5.0,15.3593
262,15.756,10.3267,6.0,48.0747,60.8773,44.288,209.216,-3.12,5.0,15.212
263,15.6367,10.16,6.0,48.1467,61.0667,44.28,209.6,-3.12,5.0,15.12
264,15.5093,9.98333,6.0,48.1387,61.2773,44.2827,210.581,-3.12,5.0,14.9953
265,15.392,9.94,6.0,48.1387,61.248,44.28,210.731,-3.12,5.0,14.8627
266,15.294,9.90933,5.46667,47.944,61.192,44.2827,210.667,-1.02667,5.0,14.7667
267,15.19,9.834,5.0,47.8453,61.2347,44.2853,211.072,9.37133,5.0,14.6507
268,15.0973,9.79667,5.0,47.8373,61.3147,44.2827,211.168,37.7533,5.0,14.556
269,15.0,9.82,5.0,47.8,61.5253,44.272,211.381,74.9173,5.0,14.458
270,14.916,9.91467,5.0,47.752,61.6267,44.2267,211.893,117.205,5.0,14.41
271,14.8547,10.028,5.4,47.664,61.568,44.2427,212.043,166.331,5.0,14.342
272,14.8233,10.19,5.73333,47.576,61.096,44.3253,212.128,219.573,5.0,14.3067
273,14.83,10.4513,6.66667,47.3653,60.4453,44.424,211.904,271.499,5.0,14.2733
274,14.8587,10.8173,8.0,47.1413,60.2133,44.4693,211.733,319.851,5.0,14.2967
275,14.9367,11.1913,8.73333,46.856,60.4853,44.488,210.539,368.811,5.0,14.3753
276,15.0327,11.604,9.0,46.4667,60.9333,44.456,210.976,415.936,5.0,14.472
277,15.1393,12.0213,9.0,46.16,61.392,44.3947,210.837,460.885,5.0,14.594
278,15.2927,12.458,10.0667,45.8933,61.8773,44.36,211.104,503.765,5.0,14.7667
279,15.464,12.9287,11.2667,45.632,62.0853,44.1733,210.72,543.552,5.0,14.9827
280,15.6707,13.398,12.6,45.4213,61.856,44.0053,210.293,579.541,5.0,15.1887
281,15.9227,13.8253,13.3333,45.368,61.7013,43.832,210.976,615.36,5.0,15.438
282,16.1753,14.2833,14.0,45.384,61.672,43.7387,211.157,645.909,5.0,15.684
283,16.424,14.73,14.5333,45.4133,61.1787,43.7333,211.157,676.736,5.0,15.9567
284,16.724,15.1693,15.0,45.5093,60.432,43.752,211.435,707.541,5.0,16.244
285,16.9613,15.5953,15.0,45.552,60.2453,43.7707,210.837,733.995,5.0,16.558
286,17.2313,15.944,15.0,45.6187,60.0373,43.816,211.893,746.667,5.0,16.844
287,17.484,16.312,15.0,45.7893,60.2213,43.92,211.435,756.736,5.0,17.142
288,17.7447,16.6567,15.0,45.9973,60.512,43.9893,212.213,771.797,5.0,17.4187
289,18.0153,16.974,15.0,46.1947,60.7653,44.1227,211.861,774.784,5.0,17.682
290,18.292,17.2327,15.0,46.408,61.144,44.176,211.147,779.136,5.0,17.952
291,18.546,17.5573,15.0,46.5307,60.7253,44.2853,209.92,773.589,5.0,18.166
