,AAPL,ADI,ADSK,AVGO,BBBY,BIDU,BIIB,EA,GOOGL,LBTYA,MSFT,PAYX,XLNX,NDX
16,97.4,62.07,58.56,163.29,44.1575,162.36,287.7054,76.99,756.4568,31.3,56.79,61.19,48.96,4677.167
17,97.49,62.13,58.6,163.3,44.2175,162.61,287.7,76.96,757.1,31.32,56.87,61.22,49.01,4677.582
18,97.49,62.05,58.665,163.0,44.24,162.74,287.95,76.95,756.405,31.35,56.89,61.21,49.01,4677.685
19,97.5,62.09,58.75,163.0,44.26,163.26,288.19,76.955,756.882,31.37,56.8508,61.22,49.04,4680.184
20,97.6,62.07,58.8,162.935,44.26,162.97,288.39,76.97,756.905,31.38,56.9,61.26,49.04,4681.667
21,97.7,62.1199,58.75,163.09,44.33,162.8332,288.06,76.94,757.625,31.33,56.96,61.25,49.04,4682.866
22,97.74,62.16,58.79,163.17,44.33,162.69,287.955,77.0,758.29,31.33,56.98,61.21,49.07,4683.738
23,97.85,62.11,58.8,163.18,44.35,162.75,287.895,77.02,758.11,31.31,56.99,61.23,49.05,4683.699
24,97.925,62.06,58.76,163.18,44.41,162.7762,288.06,76.96,757.63,31.33,56.99,61.21,49.01,4683.779
25,97.94,62.04,58.78,162.94,44.39,162.9,288.5,76.88,758.1,31.31,56.9925,61.1925,48.98,4683.602
26,97.928,62.05,58.7,162.73,44.38,162.59,288.905,76.87,757.99,31.28,56.99,61.13,48.96,4682.995
27,97.87,62.1272,58.72,162.72,44.405,162.68,288.98,76.91,758.225,31.27,57.02,61.07,49.03,4683.739
28,97.7486,62.22,58.77,162.95,44.4,162.875,288.8,76.87,758.29,31.26,57.06,61.0701,49.1,4683.393
29,97.73,62.25,58.78,163.19,44.3823,162.71,288.7,76.87,758.51,31.27,57.05,61.095,49.085,4683.903
30,97.68,62.18,58.76,163.0,44.4,162.75,288.88,76.87,758.215,31.29,57.13,61.075,49.075,4684.108
31,97.77,62.09,58.76,162.85,44.49,162.745,289.1343,76.935,758.6,31.28,57.165,61.05,49.1,4686.049
32,97.82,62.08,58.79,162.97,44.54,162.83,289.7,76.9,759.1023,31.25,57.175,61.07,49.05,4687.437
33,97.76,62.08,58.77,162.72,44.55,162.89,289.4,76.9,758.61,31.25,57.165,61.03,49.02,4685.38
34,97.7759,62.08,58.81,162.52,44.6,162.71,289.5575,76.9014,758.75,31.3,57.21,61.06,49.02,4686.096
35,97.745,62.1,58.82,162.525,44.64,162.81,289.28,76.89,758.74,31.32,57.25,61.08,49.02,4685.486
36,97.73,62.13,58.84,162.58,44.63,162.925,289.51,76.875,758.71,31.31,57.245,61.075,49.05,4684.798
37,97.7,62.1,58.8,162.51,44.63,162.98,289.71,76.87,758.7305,31.29,57.23,61.07,49.02,4684.485
38,97.6699,62.09,58.79,162.61,44.64,162.93,289.1,76.88,758.71,31.31,57.239,61.07,49.02,4683.397
39,97.536,62.07,58.74,162.47,44.62,162.985,289.15,76.85,758.39,31.31,57.19,61.05,49.01,4680.853
40,97.52,62.02,58.72,162.18,44.6,163.01,288.83,76.85,758.67,31.31,57.228,61.07,49.0,4681.35
41,97.52,62.03,58.73,162.1,44.56,163.2645,288.8725,76.86,758.8,31.32,57.25,61.07,48.99,4682.194
42,97.514,62.01,58.73,162.015,44.56,163.4,288.27,76.835,758.805,31.335,57.27,61.0433,48.95,4681.44
43,97.4843,62.02,58.72,161.93,44.59,163.33,288.18,76.73,758.78,31.27,57.265,61.04,48.93,4679.558
44,97.5137,62.02,58.69,162.04,44.51,163.445,288.22,76.65,758.63,31.27,57.28,61.04,48.93,4680.778
45,97.62,62.01,58.66,162.1,44.49,163.36,288.22,76.59,758.771,31.27,57.24,61.065,48.93,4681.443
46,97.63,62.02,58.69,162.29,44.54,163.3,288.54,76.56,758.57,31.28,57.19,61.02,48.95,4681.222
47,97.644,62.01,58.7,162.36,44.53,163.3,288.66,76.47,758.405,31.315,57.15,61.04,48.96,4680.726
48,97.6201,62.07,58.7238,162.41,44.6,163.12,288.82,76.46,758.25,31.36,57.04,60.985,48.97,4680.313
49,97.68,62.08,58.74,162.45,44.61,163.105,289.16,76.48,758.53,31.335,57.12,61.0,48.99,4681.99
50,97.6058,62.06,58.6676,162.455,44.63,163.06,289.02,76.47,758.44,31.34,57.04,60.98,48.99,4680.149
51,97.6,62.09,58.69,162.5,44.67,163.1075,289.0475,76.36,758.55,31.44,57.01,60.985,48.99,4680.799
52,97.604,62.07,58.73,162.3,44.67,163.045,288.82,76.36,758.5,31.44,56.985,60.97,48.99,4679.553
53,97.7434,62.08,58.7,162.37,44.605,163.115,288.41,76.37,758.21,31.41,56.935,60.95,49.01,4679.044
54,97.76,62.08,58.74,162.59,44.61,163.145,288.7,76.47,758.5,31.38,57.01,60.965,49.01,4680.422
55,97.82,62.12,58.77,162.75,44.6175,163.18,288.885,76.505,759.14,31.37,57.08,61.0,49.02,4682.219
56,97.84,62.12,58.78,162.87,44.625,162.99,288.92,76.58,758.7825,31.4,57.065,61.01,49.02,4682.474
57,97.8,62.08,58.81,162.75,44.64,163.03,288.98,76.55,758.89,31.425,57.1,61.01,48.99,4681.691
58,97.8,62.08,58.82,162.81,44.62,163.05,289.06,76.57,758.84,31.42,57.09,61.015,48.98,4682.03
59,97.78,62.11,58.85,162.7275,44.63,163.045,289.16,76.54,758.97,31.39,57.04,61.05,48.98,4681.677
60,97.79,62.125,58.86,162.7,44.65,162.91,289.41,76.52,758.88,31.4,57.07,61.06,49.02,4682.076
61,97.77,62.14,58.9225,162.66,44.63,162.969,289.6856,76.55,758.825,31.37,57.0957,61.055,49.03,4683.029
62,97.7,62.13,58.9,162.6,44.625,163.06,289.75,76.48,758.58,31.345,57.06,61.095,49.02,4681.822
63,97.615,62.08,58.85,162.465,44.61,162.99,289.591,76.45,758.549,31.315,57.015,61.06,49.0,4679.68
64,97.569,62.05,58.84,162.47,44.6,162.93,289.35,76.45,758.3575,31.32,56.995,61.07,48.985,4678.199
65,97.5841,62.02,58.85,162.26,44.58,162.89,289.61,76.49,758.7799,31.31,57.0,61.055,48.98,4678.811
66,97.59,62.03,58.8,162.19,44.58,163.1,289.705,76.455,758.85,31.3,56.9802,61.05,48.96,4679.072
67,97.57,62.03,58.79,162.14,44.55,163.1,289.545,76.5355,758.95,31.295,57.025,61.04,48.961,4679.189
68,97.56,62.05,58.78,162.23,44.57,163.07,289.18,76.56,758.655,31.305,57.0,61.04,48.975,4679.097
69,97.565,62.04,58.79,162.27,44.58,163.05,289.3,76.5525,759.02,31.29,57.005,61.03,48.99,4678.74
70,97.6,62.06,58.77,162.25,44.59,162.99,288.78,76.53,758.98,31.3,57.02,61.04,49.005,4678.489
71,97.67,62.06,58.78,162.27,44.59,163.05,288.77,76.56,758.86,31.29,57.01,61.025,49.02,4678.93
72,97.68,62.04,58.76,162.27,44.5847,163.11,288.78,76.48,758.8003,31.28,56.97,61.01,49.01,4678.425
73,97.6875,61.99,58.74,162.28,44.5601,163.06,288.92,76.51,758.9352,31.29,57.01,61.03,49.01,4678.657
74,97.64,62.035,58.71,162.22,44.58,162.97,288.845,76.48,758.7,31.2749,56.98,61.04,49.02,4677.686
75,97.63,62.02,58.74,162.3013,44.59,163.01,288.78,76.53,758.45,31.28,56.99,61.05,49.0,4677.797
76,97.63,62.03,58.75,162.28,44.58,163.041,289.085,76.51,758.85,31.28,57.015,61.08,49.01,4678.522
77,97.57,61.98,58.73,162.14,44.57,163.06,289.095,76.57,759.0,31.295,57.01,61.085,48.99,4678.344
78,97.577,62.0,58.69,162.2,44.56,163.1,289.1,76.6,758.796,31.2925,57.0299,61.06,48.97,4678.042
79,97.5733,62.01,58.75,162.26,44.57,163.11,289.19,76.62,758.95,31.3,57.0,61.05,48.96,4678.593
80,97.475,62.0,58.68,162.21,44.53,163.08,289.385,76.62,758.51,31.27,56.995,61.05,48.96,4677.524
81,97.44,61.995,58.69,162.2324,44.49,163.12,289.16,76.64,758.65,31.275,57.0,61.04,48.98,4676.804
82,97.4516,61.96,58.6825,162.11,44.485,163.1,289.02,76.68,758.275,31.28,56.9942,61.045,48.962,4676.123
83,97.465,61.96,58.63625,162.07,44.5,163.13,288.86,76.62,758.07,31.28,56.98,61.054,48.96,4675.281
84,97.38,61.92,58.59,161.87,44.43,163.16,288.71,76.61,757.46,31.24,56.98,61.05,48.94,4672.878
85,97.165,61.78,58.38,161.36,44.28,162.5406,287.61,76.44,755.708,31.04,56.854,60.93,48.85,4661.686
86,97.04,61.71,58.28,161.19,44.22,162.27,286.81,76.39,754.86,30.98,56.76,60.87,48.83,4656.014
87,97.195,61.75,58.34,161.34,44.18,162.46,287.825,76.42,755.59,31.0,56.83,60.9,48.84,4659.451
88,97.1742,61.8,58.36,161.33,44.18,162.4908,288.28,76.44,755.32,31.04,56.84,60.9,48.85,4660.639
89,97.0999,61.785,58.36,161.225,44.15,162.3736,288.47,76.41,755.36,31.0,56.795,60.85,48.84,4658.504
90,96.92,61.72,58.18,160.9,44.07,162.18,287.915,76.33,754.76,30.965,56.65,60.79,48.81,4652.373
91,96.93,61.7,58.22,161.05,44.09,162.32,288.34,76.31,754.6125,31.01,56.675,60.77,48.8,4652.898
92,96.94,61.69,58.22,160.92,44.06,162.53,288.02,76.3,754.2,30.99,56.65,60.8,48.79,4652.937
93,97.0141,61.7,58.24,160.89,44.06,162.51,287.99,76.32,754.49,30.99,56.69,60.79,48.78,4653.608
94,97.02,61.75,58.24,160.89,44.075,162.65,287.96,76.38,754.25,31.04,56.73,60.8,48.8,4654.811
95,96.955,61.73,58.25,160.76,44.075,162.62,288.24,76.33,754.1662,31.04,56.69,60.77,48.79,4654.03
96,96.9633,61.76,58.25,160.86,44.025,162.6,288.33,76.33,754.35,31.0,56.695,60.79,48.789,4654.905
97,96.96,61.78,58.23,160.75,43.99,162.46,288.3,76.27,754.0,30.995,56.66,60.78,48.78,4653.752
98,96.97,61.75,58.2104,160.8,44.01,162.47,288.4,76.31,753.75,31.01,56.695,60.75,48.78,4653.581
99,96.935,61.75,58.22,160.72,44.01,162.41,288.11,76.34,753.61,31.01,56.675,60.73,48.74,4652.342
100,96.94,61.76,58.22,160.85,44.01,162.56,288.07,76.31,753.43,31.03,56.7,60.73,48.73,4652.79
101,96.891,61.74,58.22,160.95,44.04,162.55,288.025,76.305,753.12,31.05,56.685,60.72,48.69,4651.692
102,96.92,61.72,58.23,160.6901,44.02,162.69,287.87,76.29,753.071,31.08,56.66,60.73,48.665,4650.934
103,96.9,61.67,58.18,160.5699,44.01,162.78,287.51,76.274,753.225,31.09,56.615,60.71,48.62,4649.127
104,96.94,61.691,58.21,160.72,44.02,162.84,287.545,76.27,752.935,31.1,56.655,60.71,48.65,4650.235
105,96.98,61.73,58.26,160.72,44.04,162.97,287.83,76.33,753.13,31.17,56.7258,60.74,48.63,4652.574
106,97.07,61.72,58.28,160.67,44.1,162.99,287.97,76.34,753.3129,31.19,56.73,60.73,48.63,4654.147
107,97.0235,61.71,58.3,160.59,44.115,162.99,287.85,76.33,753.07,31.1201,56.71,60.69,48.6,4653.034
108,97.0601,61.71,58.33,160.57,44.15,163.0,287.83,76.27,753.56,31.13,56.69,60.66,48.591,4653.647
109,97.0735,61.74,58.3368,160.68,44.17,163.0,288.05,76.28,753.615,31.17,56.67,60.7,48.6,4654.692
110,97.04,61.74,58.3304,160.59,44.19,163.0,288.1,76.285,754.3667,31.21,56.67,60.69,48.57,4655.388
111,96.97,61.72,58.33,160.57,44.17,163.05,288.1,76.23,753.56,31.23,56.6534,60.68,48.555,4653.567
112,96.975,61.75,58.35,160.63,44.17,163.15,288.095,76.22,753.03,31.2301,56.65,60.66,48.56,4653.56
113,97.01,61.755,58.37,160.59,44.21,163.15,288.34,76.29,753.7,31.265,56.68,60.67,48.57,4654.877
114,97.06,61.76,58.41,160.65,44.23,163.1825,288.41,76.34,754.32,31.275,56.715,60.71,48.57,4657.547
115,97.03,61.75,58.45,160.59,44.25,163.13,288.575,76.31,754.62,31.28,56.6631,60.71,48.56,4657.477
116,96.98,61.75,58.41,160.58,44.23,163.135,288.77,76.3,754.295,31.27,56.6841,60.72,48.565,4657.741
117,96.95,61.73,58.46,160.61,44.23,163.16,288.96,76.36,753.97,31.2967,56.7,60.75,48.555,4657.998
118,97.01,61.695,58.45,160.54,44.2,163.02,289.02,76.33,753.88,31.24,56.71,60.74,48.54,4657.103
119,97.02,61.72,58.48,160.68,44.23,163.12,289.239,76.39,754.06,31.26,56.765,60.77,48.555,4658.841
120,97.055,61.72,58.51,160.62,44.27,163.1,289.25,76.45,754.395,31.26,56.75,60.77,48.53,4659.085
121,97.06,61.69,58.5,160.63,44.24,163.06,289.03,76.43,753.96,31.27,56.75,60.75,48.54,4659.155
122,97.09,61.695,58.45,160.65,44.24,163.06,289.04,76.43,754.0001,31.25,56.74,60.74,48.59,4659.374
123,97.0762,61.65,58.45,160.6,44.24,163.07,288.865,76.4,754.0,31.24,56.75,60.75,48.575,4659.258
124,97.0759,61.645,58.4281,160.59,44.25,163.0103,288.61,76.38,753.6,31.2442,56.7572,60.73,48.579,4658.26
125,97.0919,61.65,58.45,160.62,44.275,162.97,288.795,76.46,754.06,31.25,56.75,60.73,48.57,4658.206
126,97.135,61.69,58.52,160.78,44.3,163.03,289.3,76.51,754.3008,31.33,56.765,60.74,48.57,4660.867
127,97.0856,61.65,58.51,160.59,44.32,162.9856,289.16,76.51,754.31,31.28,56.755,60.72,48.565,4659.725
128,97.08,61.61,58.46,160.62,44.29,162.94,289.23,76.53,753.905,31.26,56.745,60.705,48.56,4658.984
129,97.12,61.61,58.46,160.7,44.3,162.95,289.19,76.6,753.66,31.28,56.77,60.75,48.575,4659.868
130,97.065,61.61,58.5,160.61,44.34,162.95,289.15,76.58,753.61,31.2401,56.76,60.75,48.565,4659.02
131,96.985,61.6,58.48,160.57,44.33,162.88,289.23,76.555,753.43,31.275,56.77,60.73,48.57,4658.377
132,96.9761,61.6,58.485,160.64,44.34,162.97,289.22,76.61,753.79,31.3,56.77,60.76,48.58,4659.221
133,96.95,61.625,58.49,160.6,44.34,162.96,289.16,76.55,753.41,31.26,56.76,60.77,48.55,4659.186
134,96.95,61.615,58.4675,160.55,44.32,162.9296,289.22,76.61,753.33,31.27,56.77,60.75,48.53,4659.128
135,97.005,61.59,58.445,160.52,44.31,162.99,289.04,76.67,753.225,31.23,56.7899,60.74,48.55,4659.103
136,97.005,61.61,58.47,160.55,44.33,163.0,289.13,76.67,753.069,31.26,56.76,60.73,48.55,4659.502
137,96.98,61.6,58.43,160.53,44.34,163.025,289.06,76.64,752.8,31.25,56.769,60.74,48.53,4658.734
138,96.975,61.57,58.41,160.37,44.33,163.02,289.06,76.62,753.07,31.23,56.773,60.759,48.53,4658.126
139,97.0,61.61,58.48,160.59,44.38,163.03,289.2,76.65,753.175,31.235,56.8032,60.775,48.56,4659.684
140,96.965,61.59,58.474,160.5,44.34,163.016,289.06,76.64,753.26,31.2,56.82,60.77,48.54,4659.71
141,97.03,61.65,58.51,160.535,44.36,162.97,289.35,76.7,754.41,31.25,56.86,60.81,48.57,4663.553
142,97.1055,61.7225,58.55,160.59,44.36,163.0,289.37,76.705,754.77,31.26,56.901,60.84,48.59,4665.773
143,97.115,61.75,58.55,160.62,44.38,163.02,289.11,76.66,754.7,31.23,56.8634,60.84,48.61,4664.82
144,97.135,61.73,58.59,160.589,44.38,163.02,289.22,76.62,754.715,31.24,56.84,60.84,48.58,4664.609
145,97.13,61.74,58.56,160.575,44.41,163.05,289.21,76.62,754.15,31.22,56.825,60.83,48.585,4663.194
146,97.19,61.75,58.57,160.63,44.41,163.07,289.32,76.6,754.31,31.215,56.85,60.83,48.57,4663.398
147,97.213,61.77,58.61,160.61,44.45,163.06,289.48,76.63,754.63,31.27,56.855,60.855,48.57,4664.694
148,97.18,61.76,58.63,160.52,44.46,163.05,289.64,76.66,754.3492,31.24,56.84,60.85,48.57,4664.719
149,97.185,61.75,58.67,160.44,44.445,163.035,289.7075,76.65,754.49,31.24,56.84,60.85,48.56,4664.558
150,97.21,61.76,58.67,160.56,44.45,163.07,289.775,76.7,754.62,31.28,56.8371,60.85,48.58,4665.536
151,97.235,61.7502,58.682,160.6045,44.43,163.03,289.89,76.72,754.7689,31.27,56.85,60.885,48.59,4666.253
152,97.25,61.75,58.66,160.6597,44.44,163.1,289.74,76.72,754.62,31.25,56.84,60.85,48.58,4666.03
153,97.28,61.72,58.675,160.6,44.45,163.13,289.5025,76.77,754.35,31.28,56.86,60.845,48.57,4665.914
154,97.23,61.7,58.6775,160.56,44.45,163.07,289.265,76.8,754.33,31.29,56.83,60.82,48.53,4665.07
155,97.245,61.7,58.68,160.44,44.47,163.1,289.51,76.82,754.44,31.31,56.8275,60.83,48.54,4665.442
156,97.2599,61.73,58.67,160.56,44.49,163.1,289.544,76.815,754.44,31.32,56.82,60.84,48.59,4666.16
157,97.24,61.74,58.69,160.52,44.49,163.2,289.64,76.81,755.0,31.315,56.8336,60.84,48.6,4666.427
158,97.27,61.7211,58.68,160.57,44.49,163.25,289.38,76.81,755.23,31.35,56.84,60.85,48.56,4666.744
159,97.27,61.72,58.676,160.54,44.5,163.36,289.24,76.78,754.92,31.335,56.845,60.85,48.56,4665.953
160,97.175,61.7,58.66,160.48,44.495,163.45,289.34,76.78,754.655,31.36,56.86,60.83,48.58,4665.088
161,97.2,61.71,58.63,160.51,44.47,163.33,289.42,76.76,754.435,31.35,56.85,60.83,48.57,4664.684
162,97.15,61.71,58.63,160.48,44.47,163.27,289.52,76.74,754.24927,31.34,56.88,60.84,48.57,4664.328
163,97.1974,61.73,58.63,160.55,44.47,163.3,289.39,76.72,754.0635,31.34,56.885,60.851,48.59,4664.437
164,97.1901,61.74,58.61,160.521,44.47,163.3,289.44,76.73,753.86,31.36,56.8901,60.86,48.595,4664.251
165,97.17,61.74,58.63,160.56,44.49,163.25,289.42,76.76,754.02,31.37,56.885,60.86,48.57,4664.076
166,97.17,61.74,58.65,160.575,44.43,163.28,289.55,76.75,753.7,31.36,56.9,60.84,48.57,4663.91
167,97.15,61.75,58.67,160.59,44.38,163.2782,289.7,76.775,753.34,31.345,56.91,60.84,48.59,4664.051
168,97.185,61.76,58.66,160.61,44.401,163.34,289.54,76.74,753.86,31.37,56.925,60.86,48.58,4664.7
169,97.17,61.77,58.67,160.63,44.4299,163.31,289.63,76.7,754.28,31.37,56.93,60.86,48.58,4665.307
170,97.18,61.8,58.72,160.6,44.45,163.37,289.53,76.71,754.845,31.34,56.945,60.85,48.58,4665.703
171,97.2,61.82,58.77,160.6,44.47,163.55,289.69,76.76,755.28,31.36,56.96,60.87,48.59,4667.736
172,97.26,61.88,58.81,160.88,44.47,163.56,289.79,76.85,756.01,31.39,57.032,60.92,48.61,4671.102
173,97.255,61.91,58.82,160.95,44.46,163.69,289.67,76.88,756.27,31.39,57.0364,60.92,48.65,4671.675
174,97.27,61.93,58.83,161.04,44.43,163.591,289.56,76.88,756.41,31.38,57.04,60.92,48.65,4672.157
175,97.265,61.96,58.83,161.08,44.435,163.74,289.592,76.92,756.33,31.37,57.0036,60.93,48.66,4671.777
176,97.25,61.92,58.83,161.07,44.44,163.79,289.4612,76.89,756.19,31.4,57.005,60.9398,48.645,4671.214
177,97.2601,61.9,58.86,161.15,44.44,163.87,289.5,76.93,756.09,31.39,57.015,60.94,48.6459,4671.572
178,97.2762,61.91,58.87,161.21,44.46,163.805,289.26,76.94,755.63,31.4,57.02,60.95,48.65,4670.737
179,97.24,61.88,58.82,161.16,44.42,163.69,289.15,76.93,755.69,31.395,57.02,60.93,48.67,4669.434
180,97.245,61.88,58.81,161.23,44.4,163.29,288.905,76.925,755.33,31.4089,57.02,60.93,48.68,4669.261
181,97.25,61.89,58.83,161.17,44.42,163.41,289.19,76.92,755.61,31.405,57.005,60.94,48.69,4669.669
182,97.252,61.87,58.79,161.17,44.42,163.55,289.12,76.88,755.36,31.41,56.97,60.93,48.66,4668.939
183,97.275,61.87,58.78,161.1759,44.4,163.5,289.12,76.85,754.88,31.415,56.98,60.905,48.67,4668.414
184,97.28,61.87,58.7826,161.3,44.4,163.561,288.82,76.93,754.88,31.43,56.98,60.9159,48.66,4669.085
185,97.34,61.87,58.77,161.33,44.39,163.54,288.59,76.9,755.0,31.45,56.98,60.91,48.65,4668.923
186,97.415,61.86,58.78,161.26,44.38,163.59,288.5,76.92,755.52,31.45,56.97,60.91,48.63,4668.947
187,97.4101,61.85,58.82,161.36,44.375,163.72,288.64,76.91,755.29,31.45,56.965,60.88,48.63,4668.798
188,97.385,61.83,58.8,161.32,44.37,163.62,288.64,76.89,755.1,31.47,56.9627,60.865,48.59,4668.125
189,97.3601,61.82,58.83,161.34,44.36,163.78,288.5,76.9,755.035,31.46,56.99,60.835,48.6,4668.203
190,97.355,61.81,58.8246,161.48,44.37,163.79,288.59,76.91,754.91,31.4475,56.9842,60.835,48.61,4668.048
191,97.39,61.815,58.82,161.42,44.39,163.8,288.54,76.88,754.45,31.455,56.99,60.83,48.605,4667.441
192,97.435,61.82,58.82,161.51,44.39,163.83,288.46,76.89,754.62,31.47,56.98,60.835,48.62,4667.671
193,97.427,61.82,58.81,161.45,44.37,163.7346,288.33,76.85,754.47,31.455,56.96,60.8359,48.61,4666.684
194,97.44,61.82,58.85,161.47,44.375,163.83,288.69,76.94,754.815,31.46,56.9738,60.855,48.6,4667.789
195,97.42,61.825,58.84,161.49,44.375,163.92,288.71,76.94,754.74,31.46,56.985,60.8641,48.625,4668.139
196,97.41,61.83,58.84,161.56,44.36,163.88,288.55,77.0,754.61664,31.46,56.98,60.87,48.6,4667.857
197,97.4137,61.85,58.86,161.6201,44.37,163.93,288.415,77.02,754.49335,31.45,57.0,60.88,48.63,4667.957
198,97.4,61.85,58.84,161.65,44.37,163.89,288.44,77.01,754.37,31.4423,57.02,60.88,48.64,4667.698
199,97.4162,61.87,58.875,161.67,44.37,163.94,288.66,77.05,755.42,31.46,57.05,60.9,48.65,4669.448
200,97.445,61.89,58.89,161.73,44.34,163.8547,288.495,77.041,755.2401,31.435,57.05,60.89,48.66,4669.569
201,97.45,61.87,58.87,161.76,44.34,163.81,288.5,77.03,755.41,31.46,57.0449,60.89,48.66,4669.309
202,97.3915,61.87,58.85,161.785,44.34,163.9,288.27,77.0,755.64,31.46,56.9999,60.88,48.66,4668.451
203,97.375,61.88,58.82,161.8,44.33,163.91,288.2885,76.99,755.33,31.46,57.01,60.89,48.69,4668.674
204,97.3525,61.86,58.84,161.89,44.37,163.91,288.31,76.99,755.425,31.45,57.005,60.89,48.69,4668.646
205,97.36,61.8402,58.87,161.895,44.37,163.84,287.97,76.96,755.51,31.455,57.0105,60.88,48.69,4668.206
206,97.385,61.86,58.8689,161.94,44.36,163.9784,288.14,76.98,755.3275,31.46,57.0,60.88,48.7,4668.592
207,97.355,61.9,58.87,161.98,44.37,164.02,288.1927,76.99,755.77,31.47,56.99,60.88,48.73,4669.26
208,97.32,61.9,58.84,161.94,44.34,164.08,288.13,76.99,755.65,31.44,56.985,60.865,48.72,4667.96
209,97.339,61.92,58.83,161.99,44.33,164.01,288.12,76.98,755.385,31.43,56.985,60.87,48.7,4668.085
210,97.31,61.9,58.85,161.94,44.33,163.76,287.95,76.97,755.2747,31.42,56.975,60.875,48.68,4667.614
211,97.325,61.88,58.84,161.84,44.33,163.8,288.2,76.95,755.3223,31.405,56.96,60.88,48.67,4667.895
212,97.35,61.86,58.8596,161.805,44.36,163.91,288.275,76.94,755.37,31.42,56.93,60.88,48.66,4667.883
213,97.25,61.85,58.8825,161.64,44.37,163.9125,288.18,76.93,755.25,31.41,56.9337,60.9,48.63,4667.516
214,97.29,61.85,58.8578,161.62,44.37,163.97,288.17,76.92,755.575,31.405,56.94,60.905,48.645,4667.649
215,97.2571,61.85,58.8689,161.66,44.37,163.9687,288.24,76.93,755.74,31.42,56.94,60.91,48.64,4667.797
216,97.235,61.85,58.88,161.63,44.38,164.03,288.14,76.92,756.035,31.395,56.95,60.93,48.62,4667.777
217,97.235,61.83,58.84,161.57,44.37,164.07,288.24,76.91,755.935,31.39,56.931,60.925,48.6,4667.229
218,97.255,61.82,58.82,161.51,44.38,164.03,288.2,76.9,755.4701,31.42,56.93,60.92,48.61,4666.982
219,97.234,61.83,58.835,161.55,44.37,164.1,288.29,76.91,755.7125,31.41,56.93,60.939,48.62,4667.434
220,97.224,61.83,58.84,161.59,44.36,164.055,288.33,76.93,756.09,31.42,56.9452,60.945,48.615,4667.762
221,97.225,61.83,58.84,161.605,44.36,164.07,288.23,76.94,756.1,31.4063,56.928,60.93,48.62,4667.252
222,97.2351,61.83,58.84,161.47,44.35,164.02,288.09,76.94,755.59,31.395,56.91,60.93,48.63,4666.508
223,97.194,61.83,58.83,161.44,44.365,164.02,288.2,76.93,755.8999,31.42,56.91,60.92,48.625,4665.999
224,97.203,61.84,58.84,161.54,44.4,164.07,288.185,76.94,755.94,31.42,56.915,60.935,48.63,4666.328
225,97.21,61.82,58.84,161.45,44.38,164.09,288.035,76.91,755.86,31.42,56.9036,60.94,48.6392,4666.116
226,97.22,61.8266,58.84,161.52,44.4,164.07,288.04,76.91,756.1,31.43,56.91,60.94,48.6448,4666.787
227,97.2,61.839,58.84,161.67,44.4,164.08,287.99,76.9,755.6075,31.43,56.915,60.95,48.66,4666.786
228,97.215,61.83,58.84,161.66,44.42,164.115,287.815,76.9,755.96,31.425,56.91,60.955,48.66,4666.681
229,97.2099,61.81,58.84,161.77,44.42,164.16,287.845,76.89,755.5775,31.425,56.901,60.96,48.66,4666.615
230,97.2,61.8,58.83,161.73,44.4002,164.01,287.79,76.85,755.795,31.4,56.88,60.9566,48.66,4666.237
